#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-130.0,25,9.570406
-51.0,16,9.589357
-89.0,24,9.612298
-20.0,15,9.628251
-59.0,24,9.654148
-56.0,21,9.677122
-46.0,21,9.701058
-42.0,17,9.718011
-150.0,25,9.745943
-130.0,25,9.772866
17.0,8,9.78184
-30.0,15,9.7978
-18.0,13,9.810763
-100.0,25,9.837692
-19.0,14,9.852653
-85.0,20,9.874593
-54.0,19,9.895537
-30.0,15,9.910497
-39.0,14,9.926455
18.0,7,9.933435
-6.0,11,9.944373
-86.0,21,9.966315
-33.0,18,9.986261
20.0,5,9.992245
-58.0,23,10.017179
-57.0,22,10.040118
-27.0,12,10.053083
-44.0,19,10.075024
-7.0,12,10.089984
-89.0,24,10.114918
-54.0,19,10.136859
-28.0,13,10.152816
-54.0,19,10.174758
6.0,9,10.182736
-108.0,23,10.209664
-66.0,21,10.232603
-138.0,23,10.260528
-43.0,18,10.279478
6.0,9,10.290448
-89.0,24,10.318374
-10.0,15,10.335328
-57.0,22,10.360262
-119.0,24,10.38719
-54.0,19,10.410128
-117.0,22,10.434064
-109.0,24,10.460992
-130.0,25,10.489915
-17.0,12,10.504875
-46.0,21,10.528811
-57.0,22,10.552747
-90.0,25,10.580672
4.0,11,10.593638
-77.0,22,10.619568
-66.0,21,10.643504
24.0,11,10.655472
-12.0,17,10.676416
-67.0,22,10.700352
-13.0,18,10.721297
-40.0,15,10.739248
-21.0,16,10.757201
-72.0,17,10.77615
8.0,17,10.797094
-89.0,24,10.822027
-107.0,22,10.848955
-68.0,23,10.873888
-87.0,22,10.900816
-130.0,25,10.928742
-106.0,21,10.952678
-79.0,24,10.980603
-86.0,21,11.003541
-22.0,17,11.022491
-88.0,23,11.049419
-88.0,23,11.077344
-55.0,20,11.100283
-100.0,25,11.128208
-33.0,18,11.147158
-97.0,22,11.175083
-55.0,20,11.198022
-65.0,20,11.219963
-99.0,24,11.258899
-108.0,23,11.283825
-66.0,21,11.30477
-108.0,23,11.328706
-89.0,24,11.353638
-110.0,25,11.379574
-27.0,22,11.400514
-7.0,12,11.412482
-109.0,24,11.438411
-34.0,19,11.459355
8.0,17,11.476315
-76.0,21,11.500213
-73.0,18,11.519195
-100.0,25,11.547122
-20.0,15,11.564076
27.0,8,11.574049
-88.0,23,11.596987
-57.0,22,11.621921
-40.0,15,11.637878
4.0,11,11.648815
-68.0,23,11.675776
-130.0,25,11.701709
15.0,10,11.712678
-96.0,21,11.734624
-119.0,24,11.764506
-75.0,20,11.786447
-57.0,22,11.809396
-100.0,25,11.83634
-86.0,21,11.859252
-21.0,16,11.877204
16.0,9,11.887178
28.0,7,11.896178
-109.0,24,11.921093
-65.0,20,11.943064
17.0,8,11.953036
-55.0,20,11.973979
-44.0,19,11.995921
-20.0,15,12.011878
-73.0,18,12.02983
-19.0,14,12.045787
-68.0,23,12.072717
-9.0,14,12.08864
-43.0,18,12.107625
-8.0,13,12.122588
-23.0,18,12.140539
-77.0,22,12.166483
-41.0,16,12.183392
26.0,9,12.19438
1.0,14,12.210348
-68.0,23,12.23425
-54.0,19,12.256216
-64.0,19,12.278159
-75.0,20,12.302106
-43.0,18,12.321057
-55.0,20,12.343991
-87.0,22,12.368943
-63.0,18,12.386842
-110.0,25,12.412773
15.0,10,12.422779
0.0,15,12.43874
-6.0,11,12.452665
-65.0,20,12.472647
1.0,14,12.485613
-45.0,20,12.506556
-65.0,20,12.528497
2.0,13,12.543456
-56.0,21,12.565402
-19.0,14,12.580359
-96.0,21,12.6023
28.0,7,12.611276
-56.0,21,12.634181
-73.0,18,12.652158
-9.0,14,12.668099
-100.0,25,12.696041
-78.0,23,12.721971
-87.0,22,12.745907
-119.0,24,12.772845
-9.0,14,12.787815
-129.0,24,12.812738
-24.0,19,12.830689
-90.0,25,12.856619
-96.0,21,12.881553
-139.0,24,12.905489
-108.0,23,12.931421
-51.0,16,12.948376
-129.0,24,12.973274
-24.0,19,12.995215
-119.0,24,13.022143
-90.0,25,13.049071
-105.0,20,13.072009
4.0,11,13.083977
-107.0,22,13.107913
16.0,9,13.117886
-23.0,18,13.139828
5.0,10,13.150799
-120.0,25,13.179721
-54.0,19,13.199668
29.0,6,13.207647
-55.0,20,13.231583
-128.0,23,13.255519
-8.0,13,13.271476
-109.0,24,13.299402
-52.0,17,13.317353
-87.0,22,13.34129
-40.0,15,13.359241
-118.0,23,13.38617
-89.0,24,13.415092
-54.0,19,13.438031
17.0,8,13.445013
14.0,11,13.45698
-99.0,24,13.484905
-75.0,20,13.507844
-74.0,19,13.529785
-89.0,24,13.557711
-32.0,17,13.57666
-71.0,16,13.594612
-109.0,24,13.622538
-100.0,25,13.65146
28.0,7,13.661433
25.0,10,13.672404
-67.0,22,13.69634
-88.0,23,13.724266
-74.0,19,13.744212
-52.0,17,13.765156
-107.0,22,13.789092
-75.0,20,13.812031
-37.0,12,13.826991
-24.0,19,13.846938
-109.0,24,13.874863
-100.0,25,13.902788
-20.0,15,13.919781
19.0,6,13.925763
-140.0,25,13.951691
-66.0,21,13.974632
-78.0,23,13.996571
-95.0,20,14.017482
-120.0,25,14.043447
-75.0,20,14.06439
-85.0,20,14.085334
-77.0,22,14.110267
-77.0,22,14.13221
-130.0,25,14.159137
-22.0,17,14.176058
-22.0,17,14.195042
-140.0,25,14.221972
-65.0,20,14.243911
-24.0,19,14.263856
-69.0,24,14.287793
-88.0,23,14.312727
-76.0,21,14.334668
-19.0,14,14.350625
-130.0,25,14.377554
-65.0,20,14.398497
5.0,10,14.40947
-9.0,14,14.424429
-130.0,25,14.451361
-68.0,23,14.474295
-30.0,15,14.490252
-33.0,18,14.511195
-14.0,19,14.531143
-62.0,17,14.549094
-87.0,22,14.574029
-80.0,25,14.59996
-88.0,23,14.623896
-107.0,22,14.648794
-89.0,24,14.671768
-5.0,10,14.682737
-41.0,16,14.701687
-66.0,21,14.723628
-42.0,17,14.741547
-118.0,23,14.767511
-33.0,18,14.784465
-97.0,22,14.808367
-74.0,19,14.82835
-140.0,25,14.854278
-3.0,18,14.871238
-106.0,21,14.892179
-11.0,16,14.91113
-13.0,18,14.929078
-119.0,24,14.955009
-100.0,25,14.980906
-109.0,24,15.005839
-139.0,24,15.030772
19.0,6,15.037753
-42.0,17,15.054708
-64.0,19,15.076649
-78.0,23,15.10258
-100.0,25,15.130506
2.0,13,15.143471
-85.0,20,15.165412
31.0,4,15.170433
-77.0,22,15.192374
-89.0,24,15.217273
4.0,11,15.229276
-97.0,22,15.259195
-18.0,13,15.271129
-43.0,18,15.290112
-29.0,14,15.305073
-20.0,15,15.321007
-9.0,14,15.33599
-28.0,13,15.348957
-76.0,21,15.369899
-110.0,25,15.396827
-29.0,14,15.411788
-22.0,17,15.429742
