#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-88.0,23,47.563788
-47.0,22,47.588722
2.0,13,47.604679
-99.0,24,47.63061
-33.0,18,47.653549
3.0,12,47.666514
-127.0,22,47.694439
-41.0,16,47.712391
-12.0,7,47.719372
-52.0,17,47.741314
-45.0,20,47.766247
-23.0,18,47.786194
1.0,14,47.803148
-87.0,22,47.830076
-24.0,19,47.85102
-54.0,19,47.873959
-52.0,17,47.894903
-21.0,16,47.912855
-26.0,11,47.925821
-51.0,16,47.943772
-65.0,20,47.966711
-42.0,17,47.988653
-129.0,24,48.014583
-110.0,25,48.044503
-18.0,13,48.060461
24.0,11,48.073426
-19.0,14,48.090381
-76.0,21,48.114316
16.0,9,48.125287
-28.0,13,48.142242
-64.0,19,48.162188
-55.0,20,48.186124
-49.0,14,48.203079
-47.0,22,48.231004
-109.0,24,48.255938
-23.0,18,48.277879
-62.0,17,48.296828
-21.0,16,48.317772
-128.0,23,48.343703
-5.0,10,48.354673
-110.0,25,48.384593
-74.0,19,48.407532
-63.0,18,48.429474
-9.0,14,48.443436
-33.0,18,48.465378
-37.0,22,48.489314
-115.0,20,48.51325
28.0,7,48.523221
-34.0,19,48.547159
-33.0,18,48.566108
21.0,4,48.571095
-31.0,16,48.590044
-23.0,18,48.611986
-44.0,19,48.634924
-53.0,18,48.654871
24.0,11,48.666839
-30.0,15,48.683794
-34.0,19,48.706733
12.0,13,48.72269
-23.0,18,48.742637
-93.0,18,48.764578
13.0,12,48.777543
-34.0,19,48.800482
17.0,8,48.811452
-55.0,20,48.834391
-56.0,21,48.858327
-64.0,19,48.881266
0.0,15,48.89822
-69.0,24,48.927143
-108.0,23,48.952076
4.0,11,48.964044
1.0,14,48.980999
-42.0,17,49.00294
-76.0,21,49.026876
-77.0,22,49.05181
-99.0,24,49.079735
0.0,15,49.09669
-57.0,22,49.121623
3.0,12,49.136584
-56.0,21,49.160519
3.0,12,49.173484
-22.0,17,49.195426
-66.0,21,49.218364
-73.0,18,49.240306
-39.0,14,49.255266
-35.0,20,49.278204
-76.0,21,49.304135
-45.0,20,49.328071
-16.0,11,49.341037
-46.0,21,49.364972
-7.0,12,49.377938
18.0,7,49.387911
-100.0,25,49.416834
-39.0,14,49.434786
-86.0,21,49.458722
-58.0,13,49.471687
31.0,4,49.477671
-23.0,18,49.499612
-51.0,16,49.517565
28.0,7,49.524546
-1.0,6,49.533522
-30.0,15,49.551474
-98.0,23,49.576407
6.0,9,49.587378
-94.0,19,49.610316
-99.0,24,49.638242
-84.0,19,49.659186
-19.0,14,49.67614
-86.0,21,49.700076
-23.0,18,49.722018
12.0,13,49.738972
3.0,12,49.751938
2.0,13,49.767895
-16.0,11,49.78086
-52.0,17,49.79981
-97.0,22,49.826738
1.0,14,49.841698
-10.0,15,49.858653
-10.0,15,49.876605
-34.0,19,49.899543
-87.0,22,49.926471
12.0,13,49.940434
0.0,15,49.958386
18.0,7,49.968359
6.0,9,49.976338
-31.0,16,49.997282
-10.0,15,50.015234
-52.0,17,50.034183
-34.0,19,50.056124
-25.0,10,50.068093
29.0,6,50.075074
-63.0,18,50.097015
-15.0,10,50.108983
-160.0,25,50.137906
-100.0,25,50.166828
-24.0,19,50.186775
-8.0,13,50.20373
-28.0,13,50.219687
-51.0,16,50.238637
-63.0,18,50.257586
-42.0,17,50.279527
-2.0,7,50.286508
-9.0,14,50.303463
-49.0,14,50.320418
5.0,10,50.331388
-43.0,18,50.350338
-119.0,24,50.379261
-68.0,23,50.407186
-1.0,16,50.425138
-119.0,24,50.453063
-73.0,18,50.47301
-9.0,14,50.488967
-65.0,20,50.512903
-21.0,16,50.530855
-72.0,17,50.552797
-139.0,24,50.581719
-74.0,19,50.600668
-77.0,22,50.628593
-129.0,24,50.656519
-45.0,20,50.680455
-27.0,12,50.69342
-170.0,25,50.722343
-47.0,22,50.748274
17.0,8,50.759244
-7.0,12,50.77221
-67.0,22,50.799138
-89.0,24,50.827063
-87.0,22,50.851996
-6.0,11,50.863964
17.0,8,50.874935
-78.0,23,50.899868
16.0,9,50.910839
-99.0,24,50.940759
-13.0,18,50.963698
-31.0,16,50.98165
-30.0,15,50.998605
-30.0,15,51.016557
-130.0,25,51.045479
-88.0,23,51.070413
-67.0,22,51.097341
-65.0,20,51.121276
-36.0,21,51.145212
1.0,14,51.162167
-7.0,12,51.175133
15.0,10,51.1871
-8.0,13,51.203058
-38.0,13,51.217021
-98.0,23,51.244946
-87.0,22,51.269879
-96.0,21,51.29581
19.0,6,51.302791
-2.0,7,51.309773
16.0,9,51.320743
-99.0,24,51.349666
-109.0,24,51.379586
-95.0,20,51.403522
-110.0,25,51.432445
31.0,4,51.435436
-33.0,18,51.457378
-77.0,22,51.482311
-54.0,19,51.50525
3.0,12,51.52021
3.0,12,51.533175
5.0,10,51.545143
-43.0,18,51.567085
28.0,7,51.574066
-62.0,17,51.593015
-17.0,12,51.608973
-26.0,11,51.621938
-22.0,17,51.63989
-95.0,20,51.664823
-120.0,25,51.693746
-27.0,12,51.709703
6.0,9,51.720674
13.0,12,51.733639
-6.0,11,51.746605
-79.0,24,51.775527
-7.0,12,51.78949
-14.0,9,51.800461
-54.0,19,51.823399
-42.0,17,51.841351
-54.0,19,51.865287
-53.0,18,51.887228
-43.0,18,51.906178
-46.0,21,51.933106
-50.0,15,51.951058
4.0,11,51.963026
-7.0,12,51.975991
-80.0,25,52.002952
-4.0,9,52.012924
-150.0,25,52.05777
-126.0,21,52.094672
-74.0,19,52.125589
6.0,9,52.142579
-53.0,18,52.161527
28.0,7,52.171502
-129.0,24,52.196434
23.0,12,52.208402
-9.0,14,52.223363
18.0,7,52.229346
0.0,15,52.245303
-21.0,16,52.262224
-29.0,14,52.278216
-65.0,20,52.300157
-22.0,17,52.319106
-81.0,16,52.336061
-25.0,20,52.358968
-129.0,24,52.387938
18.0,7,52.393906
4.0,11,52.404876
-97.0,22,52.429811
3.0,12,52.440781
8.0,17,52.457737
-33.0,18,52.477683
-35.0,20,52.498628
-90.0,15,52.51558
-32.0,17,52.532535
-47.0,22,52.557484
0.0,15,52.573436
-138.0,23,52.597363
12.0,13,52.612322
-29.0,14,52.627284
-87.0,22,52.651218
18.0,7,52.6602
-40.0,15,52.677151
11.0,14,52.690116
-170.0,25,52.717009
-100.0,25,52.743975
-77.0,22,52.769902
26.0,9,52.779874
-72.0,17,52.797826
-41.0,16,52.814783
-65.0,20,52.836689
-88.0,23,52.862653
17.0,8,52.869634
-21.0,16,52.888584
-9.0,14,52.901539
-55.0,20,52.929444
-21.0,16,52.953377
-52.0,17,52.974322
18.0,7,52.982301
-15.0,10,52.996263
4.0,11,53.013218
11.0,14,53.029175
-27.0,12,53.048125
-66.0,21,53.077048
-18.0,13,53.094002
9.0,6,53.100983
3.0,12,53.114946
-7.0,12,53.130903
-148.0,23,53.156834
-27.0,12,53.180768
6.0,9,53.189745
-54.0,19,53.21368
-76.0,21,53.239611
-17.0,12,53.255568
-120.0,25,53.287484
-79.0,24,53.3314
-6.0,11,53.342346
-31.0,16,53.359331
-48.0,13,53.375282
-7.0,12,53.387252
-65.0,20,53.409192
-6.0,11,53.422123
-105.0,20,53.449051
-75.0,20,53.47598
-109.0,24,53.507893
-85.0,20,53.53582
-30.0,15,53.556764
-15.0,20,53.582727
-32.0,17,53.602675
-18.0,13,53.618633
-44.0,19,53.641537
-31.0,16,53.659522
-45.0,20,53.68542
-20.0,15,53.706364
-21.0,16,53.727308
13.0,12,53.747256
3.0,12,53.763212
7.0,8,53.776176
-2.0,7,53.784156
-21.0,16,53.806097
-97.0,22,53.836051
-75.0,20,53.856961
19.0,6,53.861962
-20.0,15,53.877919
-25.0,20,53.898848
20.0,5,53.904833
-29.0,14,53.921795
-108.0,23,53.95071
-98.0,23,53.984619
30.0,5,53.991601
-110.0,25,54.027504
-68.0,13,54.043462
-33.0,18,54.07039
-49.0,14,54.089339
-74.0,19,54.112278
-28.0,13,54.127238
-9.0,14,54.144192
-77.0,22,54.176108
-55.0,20,54.215003
-32.0,17,54.240934
-56.0,21,54.269857
2.0,13,54.288806
-31.0,16,54.311744
27.0,8,54.32072
-8.0,13,54.338672
-3.0,18,54.361611
16.0,9,54.370587
29.0,6,54.379563
-41.0,16,54.398512
-4.0,9,54.41048
-75.0,20,54.454363
-13.0,18,54.476305
-108.0,23,54.508225
-109.0,24,54.540134
17.0,8,54.549109
-110.0,25,54.582055
-88.0,23,54.607987
-41.0,16,54.623944
-108.0,23,54.649874
27.0,8,54.656855
-33.0,18,54.682753
-8.0,13,54.697713
-56.0,21,54.728631
-52.0,17,54.750571
-79.0,24,54.78448
-60.0,15,54.805425
-40.0,15,54.82537
5.0,10,54.836377
-110.0,25,54.864305
2.0,13,54.87627
-87.0,22,54.9022
-56.0,21,54.928098
-20.0,15,54.94605
-99.0,24,54.97597
-94.0,19,54.999906
-87.0,22,55.025837
-27.0,12,55.0398
-88.0,23,55.068723
-80.0,25,55.097682
24.0,11,55.108648
-78.0,23,55.135579
-100.0,25,55.16251
-20.0,15,55.182416
-27.0,12,55.195382
-109.0,24,55.225302
-8.0,13,55.242256
-9.0,14,55.257217
-20.0,15,55.275168
-2.0,17,55.298107
-31.0,16,55.317057
-60.0,15,55.335042
4.0,11,55.347018
-75.0,20,55.368957
11.0,14,55.384913
13.0,12,55.397875
-18.0,13,55.414795
-21.0,16,55.435741
-17.0,12,55.452696
-16.0,11,55.464664
18.0,7,55.472642
-100.0,25,55.50356
-130.0,25,55.535475
-51.0,16,55.555419
-64.0,19,55.579388
-33.0,18,55.60133
-80.0,25,55.629256
-62.0,17,55.647208
12.0,13,55.663164
5.0,10,55.676098
-76.0,21,55.702029
1.0,14,55.719981
-12.0,17,55.739926
-45.0,20,55.765859
10.0,15,55.785805
-90.0,25,55.817717
1.0,14,55.834706
13.0,12,55.846674
-29.0,14,55.861635
-48.0,13,55.877592
-66.0,21,55.899536
-110.0,25,55.930417
27.0,8,55.943383
6.0,9,55.952358
-130.0,25,55.982278
10.0,5,55.988262
1.0,14,56.006214
7.0,8,56.018182
-61.0,16,56.037132
-84.0,19,56.063062
4.0,11,56.076027
-40.0,15,56.093015
-24.0,9,56.103986
-8.0,13,56.116918
27.0,8,56.126925
-20.0,15,56.143879
-32.0,17,56.161831
-78.0,23,56.193713
-119.0,24,56.223657
-88.0,23,56.249565
-100.0,25,56.281478
-10.0,15,56.301425
-67.0,22,56.332374
-130.0,25,56.360303
10.0,5,56.36629
-40.0,15,56.382242
-137.0,22,56.406178
-73.0,18,56.432075
-35.0,20,56.458006
-68.0,23,56.486929
-27.0,12,56.504881
-22.0,17,56.525825
-52.0,17,56.550758
18.0,7,56.558737
-46.0,21,56.584699
5.0,10,56.595671
-20.0,15,56.612626
-106.0,21,56.635565
-86.0,21,56.660501
13.0,12,56.676422
9.0,6,56.684401
-20.0,15,56.70335
-12.0,17,56.728283
-31.0,16,56.75222
-64.0,19,56.77815
-107.0,22,56.807073
-149.0,24,56.839025
4.0,11,56.849993
3.0,12,56.86297
-70.0,25,56.889885
-84.0,19,56.911827
-45.0,20,56.939718
-150.0,25,56.972631
-31.0,16,56.993575
4.0,11,57.011528
-88.0,23,57.041447
-110.0,25,57.077352
2.0,13,57.094306
-49.0,14,57.112258
-38.0,13,57.126221
-94.0,19,57.150157
-18.0,13,57.168109
-7.0,12,57.184066
-87.0,22,57.213986
-18.0,13,57.232936
26.0,9,57.246898
-46.0,21,57.276819
-79.0,24,57.311725
-37.0,12,57.341678
-22.0,17,57.360628
-29.0,14,57.373593
-54.0,19,57.393538
-79.0,14,57.408499
7.0,8,57.421437
18.0,7,57.42941
6.0,9,57.441378
-67.0,22,57.466311
-46.0,21,57.491245
-88.0,23,57.522163
-7.0,12,57.536125
-27.0,12,57.554078
24.0,11,57.568038
-30.0,15,57.586024
-69.0,24,57.612918
-19.0,14,57.628911
-19.0,14,57.641876
19.0,6,57.650816
-5.0,10,57.662817
-98.0,23,57.689713
17.0,8,57.700684
-8.0,13,57.714647
30.0,5,57.721627
-63.0,18,57.744565
-75.0,20,57.770496
-64.0,19,57.794433
-27.0,12,57.808396
-26.0,11,57.822358
-41.0,16,57.842345
-61.0,16,57.860256
-76.0,21,57.883229
-4.0,9,57.893202
-19.0,14,57.910157
25.0,10,57.920131
14.0,11,57.931067
0.0,15,57.947057
7.0,8,57.955037
-98.0,23,57.981964
-61.0,16,57.999917
-10.0,15,58.016871
25.0,10,58.027844
14.0,11,58.039809
20.0,5,58.045793
-40.0,15,58.062752
-10.0,15,58.079703
-3.0,8,58.089676
-97.0,22,58.113612
-120.0,25,58.140508
-87.0,22,58.164444
-62.0,17,58.182396
-8.0,13,58.198354
-34.0,19,58.220295
-105.0,20,58.244231
-46.0,21,58.268167
1.0,14,58.284124
-7.0,12,58.29709
2.0,13,58.313047
-65.0,20,58.337981
-65.0,20,58.360919
-99.0,24,58.388845
-73.0,18,58.412781
20.0,5,58.419763
-21.0,16,58.439709
-64.0,19,58.463645
-49.0,24,58.492567
-64.0,19,58.516503
-65.0,20,58.540439
-4.0,9,58.548418
-129.0,24,58.578338
-9.0,14,58.595293
4.0,11,58.608258
-13.0,18,58.6302
-79.0,24,58.659122
-43.0,18,58.679069
1.0,14,58.696023
-30.0,15,58.713975
-72.0,17,58.732925
6.0,9,58.744893
-16.0,11,58.757858
-33.0,18,58.780797
-55.0,20,58.804733
-65.0,20,58.827671
-74.0,19,58.85061
15.0,10,58.862578
0.0,15,58.88053
-39.0,14,58.897485
-18.0,13,58.911447
-67.0,22,58.939373
-12.0,17,58.958322
-51.0,16,58.976274
-18.0,13,58.993229
18.0,7,59.00021
-52.0,17,59.022151
-21.0,16,59.040103
-101.0,16,59.059053
-8.0,13,59.076008
-119.0,24,59.101938
-55.0,20,59.124877
-20.0,15,59.142829
-18.0,13,59.159784
-128.0,23,59.187709
-35.0,20,59.211645
-89.0,24,59.237576
-7.0,12,59.253533
-89.0,24,59.282455
-149.0,24,59.307389
-20.0,15,59.325341
-34.0,19,59.348279
-110.0,25,59.378199
26.0,9,59.38917
-43.0,18,59.411112
-5.0,10,59.423079
-74.0,19,59.444023
-79.0,24,59.471949
-33.0,18,59.494888
6.0,9,59.505858
-78.0,23,59.530792
-71.0,16,59.549741
15.0,10,59.560711
-42.0,17,59.582653
27.0,8,59.590631
-77.0,22,59.618557
-87.0,22,59.64349
-84.0,19,59.666429
-105.0,20,59.691362
-6.0,11,59.70333
18.0,7,59.713303
-25.0,20,59.736242
-18.0,13,59.751202
-10.0,15,59.769154
-54.0,19,59.79309
-55.0,20,59.816029
-58.0,23,59.843954
-31.0,16,59.862903
-49.0,14,59.879858
-32.0,17,59.898817
14.0,11,59.910776
-9.0,14,59.928727
-88.0,23,59.956653
-46.0,21,59.980589
-13.0,18,60.000536
-20.0,15,60.018487
-67.0,22,60.045415
30.0,5,60.051399
-31.0,16,60.070349
-110.0,25,60.100269
-83.0,18,60.12221
-39.0,14,60.136173
-59.0,24,60.165096
13.0,12,60.181053
-108.0,23,60.206984
-7.0,12,60.221944
-7.0,12,60.234909
-75.0,20,60.258845
-38.0,13,60.274802
10.0,15,60.293751
-33.0,18,60.313696
5.0,10,60.325666
-94.0,19,60.349603
-110.0,25,60.379522
-96.0,21,60.404455
-73.0,18,60.427394
-55.0,20,60.45133
-64.0,19,60.475266
-50.0,15,60.493218
-140.0,25,60.523138
-65.0,20,60.548071
-43.0,18,60.568018
-67.0,22,60.595943
-20.0,15,60.613895
-99.0,24,60.640824
-120.0,25,60.670744
-76.0,21,60.697671
-22.0,17,60.717618
15.0,10,60.729586
-97.0,22,60.755517
-26.0,21,60.783442
-47.0,22,60.808376
18.0,7,60.816354
-97.0,22,60.84428
-89.0,24,60.873202
26.0,9,60.882178
25.0,10,60.894146
-18.0,13,60.911101
-44.0,19,60.93404
13.0,12,60.948002
-78.0,23,60.977922
-8.0,13,60.991885
-11.0,16,61.013826
-35.0,20,61.036765
-8.0,13,61.051723
-63.0,18,61.097603
26.0,9,61.110566
-87.0,22,61.136496
18.0,7,61.14248
-70.0,15,61.159436
-66.0,21,61.184368
-26.0,11,61.196373
-71.0,16,61.214288
-30.0,15,61.231243
-65.0,20,61.254182
5.0,10,61.26615
-98.0,23,61.295072
-68.0,23,61.321003
-40.0,15,61.338955
-17.0,12,61.354913
-118.0,23,61.379846
-74.0,19,61.402785
-107.0,22,61.427718
-97.0,22,61.454646
4.0,11,61.467611
-19.0,14,61.484566
-83.0,18,61.504513
-54.0,19,61.527451
-64.0,19,61.55039
12.0,13,61.567345
-40.0,15,61.585297
-21.0,16,61.605243
-47.0,22,61.631174
-42.0,17,61.653115
-149.0,24,61.682038
21.0,4,61.688022
-37.0,12,61.703979
17.0,8,61.71196
-20.0,15,61.730909
17.0,8,61.740882
6.0,9,61.75285
-56.0,21,61.776786
-44.0,19,61.799725
-75.0,20,61.823661
-29.0,14,61.838621
2.0,13,61.854578
-4.0,9,61.865549
1.0,14,61.882504
-7.0,12,61.896466
-57.0,22,61.9214
16.0,9,61.93237
-5.0,10,61.944338
-45.0,20,61.968274
-7.0,12,61.98523
-79.0,24,62.013154
5.0,10,62.025122
-56.0,21,62.054045
-66.0,21,62.078978
-32.0,17,62.098925
-33.0,18,62.122861
-53.0,18,62.142808
11.0,14,62.16076
-10.0,15,62.178712
-16.0,11,62.191677
-83.0,18,62.214616
-86.0,21,62.239549
-64.0,19,62.262488
27.0,8,62.273458
-8.0,13,62.287421
-51.0,16,62.307368
-22.0,17,62.330307
-46.0,21,62.356237
-68.0,23,62.38516
-17.0,12,62.398125
14.0,11,62.41109
14.0,11,62.424056
-38.0,13,62.440013
4.0,11,62.452979
-108.0,23,62.481901
1.0,14,62.499853
-79.0,24,62.525784
-57.0,22,62.553709
-40.0,15,62.571661
-86.0,21,62.596594
-40.0,15,62.614546
16.0,9,62.625517
-35.0,20,62.649453
-33.0,18,62.6694
-27.0,12,62.686354
-10.0,15,62.706301
-51.0,16,62.727245
-110.0,25,62.75916
-51.0,16,62.778109
18.0,7,62.788082
-75.0,20,62.811021
13.0,12,62.823986
-69.0,24,62.852909
-22.0,17,62.872856
0.0,15,62.88981
13.0,12,62.905768
-89.0,24,62.931698
20.0,5,62.937682
1.0,14,62.955635
-96.0,21,62.97957
-54.0,19,63.002509
-64.0,19,63.025448
-64.0,19,63.048386
-66.0,21,63.072322
-65.0,20,63.097256
-99.0,24,63.127176
-11.0,16,63.146125
26.0,9,63.158093
-2.0,7,63.165074
-109.0,24,63.193997
-74.0,19,63.216935
-44.0,19,63.239875
-39.0,14,63.254834
-6.0,11,63.269794
-77.0,22,63.294728
-32.0,17,63.313677
-9.0,14,63.332628
14.0,11,63.346589
-34.0,19,63.369527
-119.0,24,63.39845
15.0,10,63.410418
-43.0,18,63.434355
-9.0,14,63.449315
-43.0,18,63.472253
-35.0,20,63.495192
-63.0,18,63.51813
-66.0,21,63.542066
-54.0,19,63.565005
-86.0,21,63.589938
-52.0,17,63.608887
-14.0,9,63.619859
-20.0,15,63.638833
-63.0,18,63.66178
-71.0,16,63.678699
-22.0,17,63.698646
-57.0,22,63.728569
-77.0,22,63.754498
3.0,12,63.767463
5.0,10,63.779432
-1.0,16,63.801373
-18.0,13,63.815335
-5.0,10,63.828301
-89.0,24,63.859218
-41.0,16,63.878167
31.0,4,63.884152
1.0,14,63.901106
-6.0,11,63.914072
-57.0,22,63.940002
-109.0,24,63.970918
-20.0,15,63.987908
-55.0,20,64.009853
-55.0,20,64.03179
27.0,8,64.041763
-78.0,23,64.065702
-77.0,22,64.090632
-50.0,15,64.106588
-39.0,14,64.122548
9.0,6,64.128538
-88.0,23,64.152467
5.0,10,64.163404
-54.0,19,64.186376
-10.0,15,64.203332
-45.0,20,64.224274
-65.0,20,64.24718
21.0,4,64.252206
-50.0,15,64.269153
-69.0,24,64.295089
14.0,11,64.307055
-19.0,14,64.323012
-10.0,15,64.33897
-44.0,19,64.359912
-76.0,21,64.381854
19.0,6,64.387836
17.0,8,64.397777
-115.0,20,64.42075
-27.0,22,64.443689
-57.0,22,64.467623
-55.0,20,64.490528
-42.0,17,64.511506
-55.0,20,64.533448
-94.0,19,64.555389
-78.0,23,64.578336
-42.0,17,64.59927
-38.0,13,64.611207
19.0,6,64.617222
-49.0,14,64.633184
-56.0,21,64.65612
1.0,14,64.67108
20.0,5,64.677064
-23.0,18,64.697011
10.0,15,64.713972
-129.0,24,64.741891
-4.0,9,64.750874
-14.0,9,64.76084
-80.0,25,64.788765
-8.0,13,64.803725
31.0,4,64.80874
5.0,10,64.818685
-77.0,22,64.841626
-44.0,19,64.862567
16.0,9,64.87354
26.0,9,64.881519
-89.0,24,64.907454
-43.0,18,64.927395
-17.0,12,64.939362
-98.0,23,64.965293
-29.0,14,64.98125
-55.0,20,65.002194
-23.0,18,65.021144
-49.0,24,65.048072
-31.0,16,65.064031
-29.0,14,65.079987
-35.0,20,65.10093
-55.0,20,65.122872
-31.0,16,65.139828
-18.0,13,65.154789
-74.0,19,65.175733
-35.0,20,65.196674
-29.0,14,65.210615
-20.0,15,65.226594
-56.0,21,65.25053
-19.0,14,65.263497
3.0,12,65.278455
-44.0,19,65.2994
30.0,5,65.304353
-87.0,22,65.327292
-86.0,21,65.349232
25.0,10,65.360231
-46.0,21,65.38318
2.0,13,65.398103
-7.0,12,65.411102
-86.0,21,65.436026
-83.0,18,65.45495
-63.0,18,65.474897
10.0,5,65.480914
31.0,4,65.485907
-36.0,21,65.50884
15.0,10,65.519776
-139.0,24,65.547701
-41.0,16,65.56568
-31.0,16,65.583634
-32.0,17,65.602556
-130.0,25,65.633498
-19.0,14,65.652423
-21.0,16,65.672369
-100.0,25,65.703311
29.0,6,65.713285
-61.0,16,65.733207
-10.0,15,65.753186
-31.0,16,65.771106
-9.0,14,65.788061
13.0,12,65.801026
15.0,10,65.812994
5.0,10,65.824962
13.0,12,65.84092
-72.0,17,65.860866
-20.0,15,65.879816
22.0,13,65.897769
6.0,9,65.906744
-117.0,22,65.934669
15.0,10,65.947639
14.0,11,65.9606
-25.0,20,65.984536
-66.0,21,66.008472
-119.0,24,66.037395
-73.0,18,66.060333
-44.0,19,66.08028
-25.0,20,66.104216
-12.0,17,66.126157
-127.0,22,66.152088
-29.0,14,66.169043
17.0,8,66.179016
-51.0,16,66.197965
9.0,6,66.204947
-140.0,25,66.233869
-65.0,20,66.257805
-17.0,12,66.270771
2.0,13,66.286728
-63.0,18,66.308669
-69.0,24,66.337592
4.0,11,66.353549
-11.0,6,66.360531
-34.0,19,66.384466
-69.0,24,66.410397
-74.0,19,66.433336
-19.0,14,66.45029
-96.0,21,66.474226
-93.0,18,66.496168
-13.0,8,66.504147
6.0,9,66.515117
-18.0,13,66.532072
-11.0,16,66.550024
-89.0,24,66.578946
-67.0,22,66.60388
-53.0,18,66.625822
-1.0,16,66.64477
6.0,9,66.656739
-33.0,18,66.676685
0.0,15,66.694637
26.0,9,66.705608
-43.0,18,66.728546
18.0,7,66.735528
-85.0,20,66.759464
-33.0,18,66.782402
-19.0,14,66.799357
-53.0,18,66.818306
29.0,6,66.825288
-18.0,13,66.842242
-65.0,20,66.866178
-23.0,18,66.889117
2.0,13,66.90308
0.0,15,66.921032
-109.0,24,66.950952
-16.0,21,66.974888
-90.0,25,67.004808
-160.0,25,67.034728
-96.0,21,67.060658
-30.0,15,67.07861
-31.0,16,67.099554
-12.0,17,67.118504
7.0,8,67.129474
-52.0,17,67.148424
3.0,12,67.161389
-79.0,24,67.19031
19.0,6,67.196294
-100.0,25,67.225217
18.0,7,67.235245
-44.0,19,67.255172
10.0,15,67.271128
-46.0,21,67.292072
-84.0,19,67.314013
32.0,3,67.316008
-34.0,19,67.336952
4.0,11,67.347923
-98.0,23,67.374849
18.0,7,67.381834
27.0,8,67.395761
-120.0,25,67.423738
-5.0,10,67.434693
-66.0,21,67.456599
-27.0,12,67.469598
-54.0,19,67.491537
-95.0,20,67.514478
-83.0,18,67.535421
-65.0,20,67.558326
-37.0,12,67.57033
-127.0,22,67.596259
-96.0,21,67.619195
5.0,10,67.631165
-24.0,19,67.652108
19.0,6,67.658095
-90.0,25,67.686019
26.0,9,67.695992
-109.0,24,67.720927
-19.0,14,67.739874
-41.0,16,67.757827
12.0,13,67.772792
-76.0,21,67.795728
-29.0,14,67.81165
-19.0,14,67.827648
-5.0,10,67.839608
3.0,12,67.851575
-56.0,21,67.874515
-27.0,12,67.889441
-110.0,25,67.917403
-87.0,22,67.940343
-20.0,15,67.956297
-48.0,13,67.972219
-87.0,22,67.996155
7.0,8,68.006163
-28.0,13,68.019128
-20.0,15,68.035085
-90.0,25,68.063011
-89.0,24,68.089937
18.0,7,68.098919
4.0,11,68.109888
18.0,7,68.116832
0.0,15,68.133787
-17.0,12,68.148781
-28.0,13,68.161748
5.0,10,68.17272
16.0,9,68.182691
-97.0,22,68.20563
25.0,10,68.216602
29.0,6,68.225543
14.0,11,68.237543
-75.0,20,68.260491
-77.0,22,68.283422
-56.0,21,68.305363
-25.0,20,68.32727
-41.0,16,68.347217
31.0,4,68.349211
0.0,15,68.367165
-17.0,12,68.383122
25.0,10,68.395091
-129.0,24,68.424013
-21.0,16,68.441965
-99.0,24,68.470888
-52.0,17,68.490834
-54.0,19,68.513773
-98.0,23,68.538707
-87.0,22,68.566632
-99.0,24,68.595554
-75.0,20,68.620487
-130.0,25,68.649444
14.0,11,68.660414
-51.0,16,68.676337
-63.0,18,68.696317
30.0,5,68.701304
-99.0,24,68.724209
-114.0,19,68.748145
-40.0,15,68.764142
-75.0,20,68.78508
1.0,14,68.80004
6.0,9,68.810019
-21.0,16,68.825971
-88.0,23,68.851901
-32.0,17,68.869857
-20.0,15,68.885811
-29.0,14,68.900771
6.0,9,68.911708
-61.0,16,68.930691
-44.0,19,68.951635
-7.0,12,68.963602
-21.0,16,68.980562
6.0,9,68.991494
-47.0,22,69.017425
-55.0,20,69.046383
-148.0,23,69.085277
-20.0,15,69.101201
-96.0,21,69.123176
-94.0,19,69.14412
-82.0,17,69.161075
-32.0,17,69.181022
16.0,9,69.190995
-10.0,15,69.206918
-20.0,15,69.223898
-15.0,10,69.236873
-109.0,24,69.259817
-41.0,16,69.278762
-75.0,20,69.300667
0.0,5,69.305654
25.0,10,69.31766
-57.0,22,69.339596
-63.0,18,69.360542
-19.0,14,69.373505
-39.0,14,69.389466
-57.0,22,69.414397
-35.0,20,69.436338
-43.0,18,69.454289
-5.0,10,69.46526
-24.0,19,69.487169
-42.0,17,69.505155
-128.0,23,69.531084
-74.0,19,69.551033
-84.0,19,69.570995
-47.0,12,69.582948
-7.0,12,69.594915
-108.0,23,69.620847
-31.0,16,69.6378
-89.0,24,69.664729
-20.0,15,69.681684
-18.0,13,69.696642
-30.0,15,69.713598
9.0,6,69.719586
4.0,11,69.731549
-31.0,16,69.750499
-95.0,20,69.787401
-105.0,20,69.808344
-7.0,12,69.823306
25.0,10,69.833278
-41.0,16,69.850232
-66.0,21,69.871177
2.0,13,69.886138
-54.0,19,69.904088
-84.0,19,69.924999
-10.0,15,69.941953
-20.0,15,69.957942
-67.0,22,69.982878
15.0,10,69.993847
-18.0,13,70.006814
-70.0,15,70.022771
-65.0,20,70.045711
-86.0,21,70.067644
28.0,7,70.07759
-31.0,16,70.094557
-6.0,11,70.106513
-79.0,24,70.137464
-49.0,14,70.154385
-96.0,21,70.178353
15.0,10,70.190289
32.0,3,70.194311
-54.0,19,70.214251
-79.0,24,70.24018
-5.0,10,70.251127
-60.0,25,70.278081
-43.0,18,70.299022
15.0,10,70.310007
-11.0,16,70.325961
19.0,6,70.331948
-16.0,11,70.342881
-72.0,17,70.362856
-76.0,21,70.384769
-10.0,15,70.401749
-42.0,17,70.418702
27.0,8,70.428676
